,ID УУ,Адрес,Полный адрес,Округ,UNOM,Группа,№ ОДС,Адрес ОДС,Потребитель (или УК),ЦТП,Unnamed: 0,Город,Административный округ,Муниципальный округ,Населенный пункт,Улица,Тип номера дом,Номер дома,Номер корпуса,Тип номера строения/сооружения,Номер строения,Unnamed: 12,Материал,Назначение,Класс,Тип,Этажность,Признак,Общая площадь,Тип Назначение
0,785480981,"10-я Парковая ул., д. 15","город Москва, 10-я Парковая улица, дом 15",ВАО,18777,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/185,69017,город Москва,Восточный административный округ,муниципальный округ Измайлово,,10-я Парковая улица,дом,15,,,,1,панели керамзитобетонные,многоквартирный дом,жилые,Здание,17.0,,"17417,7",3
1,785481133,"10-я Парковая ул., д. 17","город Москва, 10-я Парковая улица, дом 17",ВАО,18778,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/185,69011,город Москва,Восточный административный округ,муниципальный округ Измайлово,,10-я Парковая улица,дом,17,,,,1,панельные,многоквартирный дом,жилые,Здание,14.0,,"6386,1",3
2,1881452,"10-я Парковая ул., д. 18А","город Москва, 10-я Парковая улица, дом 18А",ВАО,2105327,Бюджет,,,ГКУ ДИРЕКЦИЯ ДОНМ,04-05-0604/124,238012,город Москва,Восточный административный округ,муниципальный округ Измайлово,,10-я Парковая улица,дом,18А,,,,1,кирпичные,детский сад,нежилые,Здание,2.0,,"827,6",0
3,785481250,"10-я Парковая ул., д. 4","город Москва, 10-я Парковая улица, дом 4",ВАО,18773,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064,69015,город Москва,Восточный административный округ,муниципальный округ Измайлово,,10-я Парковая улица,дом,4,,,,1,из железобетонных сегментов,многоквартирный дом,жилые,Здание,12.0,,"3667,3",3
4,785481200,"10-я Парковая ул., д. 6","город Москва, 10-я Парковая улица, дом 6",ВАО,18775,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064,69026,город Москва,Восточный административный округ,муниципальный округ Измайлово,,10-я Парковая улица,дом,6,,,,1,кирпичные,многоквартирный дом,жилые,Здание,12.0,,3547,3
5,173701132,"10-я ул. Соколиной Горы, д. 12","город Москва, 10-я улица Соколиной Горы, дом 12",ВАО,24194,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/011-7,78336,город Москва,Восточный административный округ,муниципальный округ Соколиная Гора,,10-я улица Соколиной Горы,дом,12,,,,1,кирпичные,многоквартирный дом,жилые,Здание,5.0,,"1268,3",3
6,152823395,"10-я ул. Соколиной Горы, д. 20","город Москва, 10-я улица Соколиной Горы, дом 20",ВАО,24195,МКД,ОДС №33-Соколиная Гора,"город Москва, улица Уткина, дом 40А","ГБУ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""",04-02-0409/109,78347,город Москва,Восточный административный округ,муниципальный округ Соколиная Гора,,10-я улица Соколиной Горы,дом,20,,,,1,панельные,многоквартирный дом,жилые,Здание,9.0,,"10548,2",3
7,214413942,"10-я ул. Соколиной Горы, д. 26А","город Москва, 10-я улица Соколиной Горы, дом 26А",ВАО,24196,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/109,78346,город Москва,Восточный административный округ,муниципальный округ Соколиная Гора,,10-я улица Соколиной Горы,дом,26А,,,,1,крупноблочные,многоквартирный дом,жилые,Здание,5.0,,"3072,4",3
8,214402322,"10-я ул. Соколиной Горы, д. 28","город Москва, 10-я улица Соколиной Горы, дом 28",ВАО,24197,МКД,ОДС №33-Соколиная Гора,"город Москва, улица Уткина, дом 40А","ГБУ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""",04-02-0409/109,78348,город Москва,Восточный административный округ,муниципальный округ Соколиная Гора,,10-я улица Соколиной Горы,дом,28,,,,1,панельные,многоквартирный дом,жилые,Здание,9.0,,"7104,1",3
9,214408687,"10-я ул. Соколиной Горы, д. 6, к. 1","город Москва, 10-я улица Соколиной Горы, дом 6, корпус 1",ВАО,65016,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/032,78342,город Москва,Восточный административный округ,муниципальный округ Соколиная Гора,,10-я улица Соколиной Горы,дом,6,1,,,1,панельные,многоквартирный дом,жилые,Здание,14.0,,"22393,6",3
